BR;KM;LAT;LONG
116;1,77;-22,52139;-44,715323
116;1,78;-22,521436;-44,715407
116;1,79;-22,521483;-44,715491
116;1,8;-22,521529;-44,715575
116;1,81;-22,521575;-44,715659
116;1,82;-22,521622;-44,715743
116;1,83;-22,521668;-44,715827
116;1,84;-22,521714;-44,71591
116;1,85;-22,521761;-44,715994
116;1,86;-22,521808;-44,716078
116;1,87;-22,521854;-44,716162
116;1,88;-22,521901;-44,716246
116;1,89;-22,521947;-44,71633
116;1,9;-22,521994;-44,716414
116;1,91;-22,52204;-44,716498
116;1,92;-22,522086;-44,716582
116;1,93;-22,522131;-44,716666
116;1,94;-22,522179;-44,716749
116;1,95;-22,522227;-44,716833
116;1,96;-22,522274;-44,716916
116;1,97;-22,522321;-44,717
116;1,98;-22,522368;-44,717083
116;1,99;-22,522415;-44,717167
116;2;-22,522462;-44,717251
116;2,01;-22,522508;-44,717334
116;2,02;-22,522553;-44,717419
116;2,03;-22,522597;-44,717503
116;2,04;-22,522642;-44,717589
116;2,05;-22,522686;-44,717674
116;2,06;-22,522732;-44,717758
116;2,07;-22,522779;-44,717842
116;2,08;-22,522828;-44,717924
116;2,09;-22,522876;-44,718007
116;2,1;-22,522925;-44,71809
116;2,11;-22,522973;-44,718173
116;2,12;-22,52302;-44,718256
116;2,13;-22,523068;-44,718339
116;2,14;-22,523115;-44,718423
116;2,15;-22,523159;-44,718508
116;2,16;-22,523203;-44,718593
116;2,17;-22,523249;-44,718677
116;2,18;-22,523294;-44,718762
116;2,19;-22,523339;-44,718847
116;2,2;-22,523381;-44,718933
116;2,21;-22,523423;-44,719019
116;2,22;-22,523462;-44,719106
116;2,23;-22,523501;-44,719194
116;2,24;-22,523538;-44,719282
116;2,25;-22,523573;-44,719371
116;2,26;-22,523608;-44,71946
116;2,27;-22,523641;-44,719551
116;2,28;-22,523673;-44,719641
116;2,29;-22,523704;-44,719732
116;2,3;-22,523733;-44,719824
116;2,31;-22,52376;-44,719915
116;2,32;-22,523785;-44,720007
116;2,33;-22,52381;-44,7201
116;2,34;-22,523832;-44,720194
116;2,35;-22,523853;-44,720287
116;2,36;-22,523873;-44,720381
116;2,37;-22,523892;-44,720475
116;2,38;-22,523911;-44,720569
116;2,39;-22,523927;-44,720663
116;2,4;-22,523943;-44,720758
116;2,41;-22,523956;-44,720853
116;2,42;-22,523968;-44,720948
116;2,43;-22,523979;-44,721043
116;2,44;-22,523987;-44,721139
116;2,45;-22,523995;-44,721235
116;2,46;-22,524001;-44,72133
116;2,47;-22,524006;-44,721426
116;2,48;-22,52401;-44,721522
116;2,49;-22,524013;-44,721618
116;2,5;-22,524015;-44,721714
116;2,51;-22,524015;-44,721809
116;2,52;-22,524013;-44,721905
116;2,53;-22,52401;-44,722001
116;2,54;-22,524006;-44,722097
116;2,55;-22,523999;-44,722193
116;2,56;-22,523991;-44,722288
116;2,57;-22,523982;-44,722383
116;2,58;-22,523972;-44,722478
116;2,59;-22,52396;-44,722573
116;2,6;-22,523947;-44,722669
116;2,61;-22,523935;-44,722764
116;2,62;-22,523922;-44,722859
116;2,63;-22,523909;-44,722954
116;2,64;-22,523897;-44,723049
116;2,65;-22,523884;-44,723144
116;2,66;-22,523872;-44,723239
116;2,67;-22,523861;-44,723334
116;2,68;-22,52385;-44,723429
116;2,69;-22,523841;-44,723525
116;2,7;-22,523833;-44,723621
116;2,71;-22,523826;-44,723716
116;2,72;-22,523821;-44,723812
116;2,73;-22,523815;-44,723907
116;2,74;-22,523809;-44,724003
116;2,75;-22,523804;-44,724099
116;2,76;-22,523799;-44,724194
116;2,77;-22,523791;-44,72429
116;2,78;-22,523783;-44,724386
116;2,79;-22,52378;-44,724481
116;2,8;-22,52378;-44,724578
116;2,81;-22,523776;-44,724673
116;2,82;-22,523772;-44,724769
116;2,83;-22,52377;-44,724865
116;2,84;-22,523769;-44,72496
116;2,85;-22,523768;-44,725057
116;2,86;-22,52377;-44,725153
116;2,87;-22,523776;-44,725248
116;2,88;-22,523782;-44,725344
116;2,89;-22,52378;-44,72544
116;2,9;-22,523781;-44,725535
116;2,91;-22,523784;-44,725631
116;2,92;-22,523789;-44,725727
116;2,93;-22,523796;-44,725823
116;2,94;-22,523804;-44,725919
116;2,95;-22,523813;-44,726014
116;2,96;-22,523822;-44,726109
116;2,97;-22,523831;-44,726205
116;2,98;-22,52384;-44,7263
116;2,99;-22,52385;-44,726395
116;3;-22,52386;-44,726491
116;3,01;-22,523872;-44,726586
116;3,02;-22,523883;-44,726681
116;3,03;-22,523888;-44,726776
116;3,04;-22,523894;-44,726872
116;3,05;-22,523902;-44,726968
116;3,06;-22,523912;-44,727063
116;3,07;-22,523922;-44,727159
116;3,08;-22,523932;-44,727254
116;3,09;-22,523942;-44,727349
116;3,1;-22,523952;-44,727445
116;3,11;-22,52396;-44,72754
116;3,12;-22,523966;-44,727636
116;3,13;-22,523972;-44,727732
116;3,14;-22,523978;-44,727828
116;3,15;-22,523985;-44,727923
116;3,16;-22,523993;-44,728019
116;3,17;-22,524001;-44,728114
116;3,18;-22,524009;-44,728209
116;3,19;-22,524018;-44,728305
116;3,2;-22,524027;-44,728401
116;3,21;-22,524035;-44,728496
116;3,22;-22,524044;-44,728592
116;3,23;-22,524053;-44,728687
116;3,24;-22,524063;-44,728782
116;3,25;-22,524072;-44,728877
116;3,26;-22,524082;-44,728973
116;3,27;-22,524092;-44,729068
116;3,28;-22,524102;-44,729164
116;3,29;-22,524113;-44,729259
116;3,3;-22,524123;-44,729354
116;3,31;-22,524133;-44,72945
116;3,32;-22,524144;-44,729545
116;3,33;-22,524154;-44,72964
116;3,34;-22,524165;-44,729736
116;3,35;-22,524175;-44,729831
116;3,36;-22,524185;-44,729926
116;3,37;-22,524195;-44,730022
116;3,38;-22,524205;-44,730117
116;3,39;-22,524214;-44,730213
116;3,4;-22,524224;-44,730308
116;3,41;-22,524234;-44,730403
116;3,42;-22,524244;-44,730499
116;3,43;-22,524254;-44,730594
116;3,44;-22,524264;-44,730689
116;3,45;-22,524274;-44,730784
116;3,46;-22,524284;-44,730879
116;3,47;-22,524294;-44,730975
116;3,48;-22,524305;-44,731071
116;3,49;-22,524314;-44,731166
116;3,5;-22,524324;-44,731261
116;3,51;-22,524334;-44,731356
116;3,52;-22,524343;-44,731452
116;3,53;-22,524352;-44,731547
116;3,54;-22,524361;-44,731643
116;3,55;-22,52437;-44,731738
116;3,56;-22,524379;-44,731834
116;3,57;-22,524388;-44,73193
116;3,58;-22,524398;-44,732025
116;3,59;-22,524407;-44,73212
116;3,6;-22,524417;-44,732215
116;3,61;-22,524427;-44,732311
116;3,62;-22,524437;-44,732406
116;3,63;-22,524448;-44,732502
116;3,64;-22,524458;-44,732597
116;3,65;-22,524469;-44,732692
116;3,66;-22,524481;-44,732787
116;3,67;-22,524494;-44,732882
116;3,68;-22,524507;-44,732977
116;3,69;-22,524522;-44,733072
116;3,7;-22,524538;-44,733166
116;3,71;-22,524555;-44,73326
116;3,72;-22,524573;-44,733355
116;3,73;-22,524593;-44,733449
116;3,74;-22,524613;-44,733543
116;3,75;-22,524634;-44,733636
116;3,76;-22,524656;-44,73373
116;3,77;-22,524678;-44,733823
116;3,78;-22,524701;-44,733916
116;3,79;-22,524726;-44,734008
116;3,8;-22,524751;-44,7341
116;3,81;-22,524778;-44,734193
116;3,82;-22,524806;-44,734284
116;3,83;-22,524835;-44,734376
116;3,84;-22,524866;-44,734467
116;3,85;-22,524896;-44,734558
116;3,86;-22,524928;-44,734648
116;3,87;-22,52496;-44,734738
116;3,88;-22,524994;-44,734828
116;3,89;-22,525028;-44,734918
116;3,9;-22,525063;-44,735007
116;3,91;-22,5251;-44,735095
116;3,92;-22,525138;-44,735183
116;3,93;-22,525179;-44,73527
116;3,94;-22,52522;-44,735356
116;3,95;-22,525262;-44,735443
116;3,96;-22,525304;-44,735529
116;3,97;-22,525345;-44,735616
116;3,98;-22,525386;-44,735702
116;3,99;-22,525427;-44,735789
116;4;-22,525468;-44,735876
116;4,01;-22,525508;-44,735963
116;4,02;-22,52555;-44,736049
116;4,03;-22,525593;-44,736135
116;4,04;-22,525634;-44,736222
116;4,05;-22,525675;-44,736308
116;4,06;-22,525716;-44,736395
116;4,07;-22,525757;-44,736481
116;4,08;-22,525798;-44,736568
116;4,09;-22,525839;-44,736655
116;4,1;-22,52588;-44,736741
116;4,11;-22,525922;-44,736827
116;4,12;-22,525963;-44,736914
116;4,13;-22,526004;-44,737001
116;4,14;-22,526044;-44,737088
116;4,15;-22,526085;-44,737174
116;4,16;-22,526126;-44,737261
116;4,17;-22,526168;-44,737347
116;4,18;-22,52621;-44,737433
116;4,19;-22,526252;-44,737519
116;4,2;-22,526294;-44,737606
116;4,21;-22,526337;-44,737692
116;4,22;-22,526379;-44,737778
116;4,23;-22,526421;-44,737864
116;4,24;-22,526463;-44,73795
116;4,25;-22,526505;-44,738037
116;4,26;-22,526547;-44,738123
116;4,27;-22,526589;-44,738209
116;4,28;-22,526631;-44,738295
116;4,29;-22,526673;-44,738381
